B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
14,6,1,4,2,21,16,19,30,22,44,39,FREE,42,33,49,47,50,54,57,69,74,68,61,75
14,8,5,3,12,25,28,30,19,21,33,32,FREE,34,42,46,59,58,53,54,72,74,68,73,71
5,8,12,4,15,20,27,21,29,25,33,40,FREE,43,38,53,50,48,52,57,64,75,67,71,74
2,13,11,1,7,20,28,27,16,18,45,42,FREE,38,35,48,59,56,52,54,75,74,70,62,66
6,15,1,4,12,23,26,22,25,20,45,37,FREE,36,40,60,47,53,52,59,65,64,67,73,69
4,15,12,13,5,17,19,21,24,26,33,41,FREE,40,38,49,57,54,51,56,75,64,65,71,62
14,4,2,7,11,27,22,29,30,19,36,37,FREE,44,35,56,48,58,52,50,69,73,62,68,61
6,3,11,4,5,18,23,30,29,25,34,42,FREE,39,44,54,46,51,50,60,72,75,71,64,61
9,4,12,10,1,22,19,25,16,26,31,39,FREE,44,33,56,60,50,54,59,63,67,65,69,74
4,12,8,3,6,22,17,16,18,23,45,33,FREE,36,34,53,49,50,47,58,64,67,66,74,71
7,1,13,6,5,23,28,16,19,20,44,43,FREE,31,45,49,58,60,46,54,74,73,67,72,66
2,4,14,7,11,21,26,27,29,28,31,36,FREE,40,37,51,46,47,49,54,72,64,68,63,69
3,7,9,10,2,24,30,19,18,22,43,41,FREE,39,37,55,56,48,51,47,72,67,71,62,63
4,10,15,2,7,25,26,30,28,29,44,33,FREE,32,36,53,47,46,57,52,75,66,70,72,63
1,7,15,14,9,29,17,27,26,23,35,43,FREE,41,32,56,57,46,52,48,65,73,72,64,62
13,12,10,1,8,21,16,30,19,29,45,44,FREE,34,42,55,48,57,50,54,66,72,70,65,68
11,4,10,9,5,30,28,24,16,29,41,37,FREE,31,44,48,49,60,57,55,63,64,74,65,62
15,7,14,4,3,17,27,20,24,23,34,42,FREE,37,36,57,48,46,56,59,62,65,66,63,68
3,11,2,1,13,22,21,27,26,19,34,33,FREE,39,35,59,50,51,60,52,70,61,72,73,75
10,1,15,3,11,16,26,27,28,22,42,34,FREE,45,35,60,58,46,49,56,69,74,65,67,63
5,3,14,15,1,30,29,21,26,17,38,31,FREE,35,45,57,48,50,59,60,62,74,73,68,70
6,4,12,2,9,18,28,26,19,25,40,33,FREE,37,45,48,49,46,52,53,75,73,66,65,64
15,13,6,7,14,22,21,24,16,18,42,34,FREE,45,37,52,60,53,59,49,74,61,70,69,67
14,15,4,10,3,21,23,25,16,18,38,45,FREE,43,36,49,54,48,50,47,67,65,62,75,71
